entity,entity_id,field,issue_type,severity,detected_value,corrected_value,action,evidence,confidence,checker,detected_at
coaches,cch_diego_fernandez,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.863860+00:00
coaches,cch_lucas_benitez,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864329+00:00
coaches,cch_chiara_rossi,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864338+00:00
coaches,cch_reem_darwish,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864345+00:00
coaches,cch_ravi_menon,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864355+00:00
coaches,cch_salem_al_ketbi,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864362+00:00
coaches,cch_shaikha_al_qasimi,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864377+00:00
coaches,cch_saif_al_shamsi,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864390+00:00
coaches,cch_sergio_lima,-,schema_validation_error,error,"{'type': 'list_type', 'loc': ('languages',), 'msg': 'Input should be a valid list', 'input': None, 'url': 'https://errors.pydantic.dev/2.13/v/list_type'}",,quarantined,,,schema,2026-08-17T10:40:07.864402+00:00
courts,crt_alquoz_pc04,price_per_hour_aed,missing_value,error,,260,auto_fixed,inverted from 210 slot prices via price-rule multipliers; modal estimate 260 AED with 100% agreement (distribution: {260: 210}),1.0,rules.missing,2026-08-17T10:40:07.922272+00:00
courts,crt_alquoz_pc05,price_per_hour_aed,missing_value,error,,270,auto_fixed,inverted from 210 slot prices via price-rule multipliers; modal estimate 270 AED with 100% agreement (distribution: {270: 210}),1.0,rules.missing,2026-08-17T10:40:07.922282+00:00
courts,crt_alquoz_sc02,price_per_hour_aed,missing_value,error,,210,auto_fixed,inverted from 210 slot prices via price-rule multipliers; modal estimate 210 AED with 100% agreement (distribution: {210: 210}),1.0,rules.missing,2026-08-17T10:40:07.922284+00:00
courts,crt_yas_cc01,price_per_hour_aed,missing_value,error,,300,auto_fixed,inverted from 210 slot prices via price-rule multipliers; modal estimate 300 AED with 100% agreement (distribution: {300: 210}),1.0,rules.missing,2026-08-17T10:40:07.922287+00:00
courts,crt_yas_cc03,price_per_hour_aed,sentinel_value,error,99999,310,auto_fixed,known placeholder for 'unknown' | inverted from 210 slot prices via price-rule multipliers; modal estimate 310 AED with 100% agreement (distribution: {310: 210}),1.0,rules.missing,2026-08-17T10:40:07.922289+00:00
courts,crt_yas_cc04,price_per_hour_aed,sentinel_value,error,99999,300,auto_fixed,known placeholder for 'unknown' | inverted from 210 slot prices via price-rule multipliers; modal estimate 300 AED with 100% agreement (distribution: {300: 210}),1.0,rules.missing,2026-08-17T10:40:07.922291+00:00
courts,crt_ajman_sc03,price_per_hour_aed,missing_value,error,,150,auto_fixed,inverted from 210 slot prices via price-rule multipliers; modal estimate 150 AED with 100% agreement (distribution: {150: 210}),1.0,rules.missing,2026-08-17T10:40:07.922294+00:00
branches,br_rak,coordinates,missing_value,warning,,,quarantined,,,rules.missing,2026-08-17T10:40:07.922297+00:00
coaches,cch_diego_fernandez,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922299+00:00
coaches,cch_lucas_benitez,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922302+00:00
coaches,cch_chiara_rossi,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922303+00:00
coaches,cch_reem_darwish,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922307+00:00
coaches,cch_ravi_menon,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922309+00:00
coaches,cch_salem_al_ketbi,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922310+00:00
coaches,cch_shaikha_al_qasimi,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922312+00:00
coaches,cch_saif_al_shamsi,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922314+00:00
coaches,cch_sergio_lima,languages,missing_value,warning,,,unresolved,,,rules.missing,2026-08-17T10:40:07.922315+00:00
coaches,cch_ricardo_duarte,years_experience,implausible_value,error,87,,unresolved,> 40 yrs is not plausible,,rules.outliers,2026-08-17T10:40:07.922320+00:00
coaches,cch_hassan_nofal,years_experience,implausible_value,error,87,,unresolved,> 40 yrs is not plausible,,rules.outliers,2026-08-17T10:40:07.922322+00:00
coaches,cch_khalid_al_mazrouei,years_experience,implausible_value,error,87,,unresolved,> 40 yrs is not plausible,,rules.outliers,2026-08-17T10:40:07.922324+00:00
classes,cls_adult_beginner_course_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922327+00:00
classes,cls_adult_improver_course_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922329+00:00
classes,cls_ladies_beginner_academy_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922331+00:00
classes,cls_ladies_social_doubles_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922334+00:00
classes,cls_cardio_padel_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922337+00:00
classes,cls_competition_squad_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922339+00:00
classes,cls_technique_clinic_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922340+00:00
classes,cls_morning_social_drills_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922341+00:00
classes,cls_tactics_workshop_alquoz,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922343+00:00
classes,cls_adult_beginner_course_alquoz_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922344+00:00
classes,cls_adult_improver_course_alquoz_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922346+00:00
classes,cls_ladies_beginner_academy_alquoz_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922347+00:00
classes,cls_competition_squad_alquoz_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922349+00:00
classes,cls_technique_clinic_alquoz_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922350+00:00
classes,cls_adult_beginner_course_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922352+00:00
classes,cls_ladies_beginner_academy_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922353+00:00
classes,cls_ladies_social_doubles_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922355+00:00
classes,cls_cardio_padel_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922356+00:00
classes,cls_competition_squad_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922358+00:00
classes,cls_technique_clinic_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922359+00:00
classes,cls_morning_social_drills_jvc,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922360+00:00
classes,cls_adult_improver_course_jvc_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922362+00:00
classes,cls_ladies_social_doubles_jvc_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922363+00:00
classes,cls_adult_beginner_course_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922365+00:00
classes,cls_ladies_beginner_academy_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922367+00:00
classes,cls_ladies_social_doubles_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922368+00:00
classes,cls_junior_academy_yas,min_age/max_age,inverted_range,error,"{""min_age"": 21, ""max_age"": 15}",,unresolved,,,rules.outliers,2026-08-17T10:40:07.922370+00:00
classes,cls_cardio_padel_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922372+00:00
classes,cls_competition_squad_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922373+00:00
classes,cls_tactics_workshop_yas,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922375+00:00
classes,cls_adult_beginner_course_yas_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922376+00:00
classes,cls_adult_improver_course_yas_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922378+00:00
classes,cls_ladies_beginner_academy_yas_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922379+00:00
classes,cls_ladies_social_doubles_yas_2,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922381+00:00
classes,cls_adult_beginner_course_khalifa,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922382+00:00
classes,cls_adult_improver_course_khalifa,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922384+00:00
classes,cls_ladies_beginner_academy_khalifa,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922385+00:00
classes,cls_ladies_social_doubles_khalifa,max_age,nullable_by_design,info,,,validated_ok,"adult class, no upper age limit (owner-confirmed convention)",,rules.outliers,2026-08-17T10:40:07.922387+00:00
